App,Class,B,CBO,CLOC,COM_RAT,Command,Cons,CSA,CSO,CSOA,Cyclic,D,Dcy,Dcy1,DIT,Dpt,Dpt1,E,Inner,Inner1,Jf,JLOC,Jm,JTA,JTM,LCOM,Level,Level1,LOC,MPC,N,n,NAAC,NAIC,NCLOC,NOAC,NOC,NOIC,NOOC,NTP,OCavg,OCmax,OPavg,OSavg,OSmax,PDcy,PDpt,Query,RFC,STAT,SUB,TCOM_RAT,TODO,V,WMC
Book-Catalogue,com.eleybourn.bookcatalogue.utils.Base64.InputStream,0,1,105,0.5932,0,2,10,38,48,2,58,1,3,3,1,323,101594,0,2,0,53,1,0,0,1,1,3,177,8,276,77,9,1,113,0,0,25,2,0,5.5,15,1.5,17,46,1,1,2,10,68,0,0.5664,0,1729,22
Book-Catalogue,com.eleybourn.bookcatalogue.utils.Base64.OutputStream,0,1,114,0.6196,6,2,11,35,46,2,49,1,3,3,1,323,74872,0,3,0,79,1,0,0,1,1,3,184,16,240,78,10,1,97,3,0,15,3,0,2.5,8,0.88,6.38,20,1,1,0,17,51,0,0.8969,0,1508,20
Book-Catalogue,com.eleybourn.bookcatalogue.utils.BlockingStack,0,2,66,0.4286,1,1,4,19,23,0,63,0,0,1,2,321,53758,0,0,0,43,0.8571,0,0,1,1,1,154,23,148,54,4,0,89,6,0,11,0,1,2,4,0.43,7.29,15,0,1,5,22,51,0,0.7303,0,851,14
Book-Catalogue,com.eleybourn.bookcatalogue.utils.BookUtils,0,13,27,0.2547,3,0,0,15,15,303,59,12,483,1,1,320,93226,0,0,1,20,1,0,0,1,2,305,106,45,234,101,0,0,79,3,0,11,0,0,3.5,6,3.33,14,30,6,1,0,33,56,0,0.3418,1,1558,14
Book-Catalogue,com.eleybourn.bookcatalogue.utils.GenericFileProvider,0,0,0,0,0,0,1,63,64,0,0,0,0,3,0,0,0,0,2,1,0,1,0,0,0,1,1,4,0,3,3,0,1,4,0,0,51,0,0,,,0,,,0,0,0,0,0,0,0,0,4,0
Book-Catalogue,com.eleybourn.bookcatalogue.utils.HintManager,0,20,26,0.2708,1,0,3,15,18,303,43,8,483,1,13,320,86022,3,0,1,15,0.6667,0,0,1,2,305,96,9,281,126,3,0,71,3,0,11,0,0,2,2,1.67,6.2,6,2,5,2,25,31,0,5.8571,0,1960,10
Book-Catalogue,com.eleybourn.bookcatalogue.utils.HintManager.Hint,0,4,31,0.5167,2,1,2,18,20,303,13,3,483,1,2,320,3525,0,0,1,29,0.6667,0,0,1,2,305,60,9,52,30,2,0,29,5,0,11,0,0,1.17,2,0.67,2.17,5,2,1,3,11,13,0,1.069,0,255,7
Book-Catalogue,com.eleybourn.bookcatalogue.utils.HintManager.HintOwner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Book-Catalogue,com.eleybourn.bookcatalogue.utils.HintManager.Hints,0,2,25,0.5682,0,0,2,15,17,303,19,1,483,1,1,320,3919,0,0,1,25,1,0,0,1,2,305,44,6,44,24,2,0,19,3,0,11,0,0,1.33,2,1,3,4,1,1,3,11,9,0,1.3158,0,201,4
Book-Catalogue,com.eleybourn.bookcatalogue.utils.IsbnUtils,1,7,37,0.3814,0,0,0,19,19,1,118,1,1,1,7,323,408127,1,0,1,34,0.7143,0,0,3,1,2,97,30,519,98,0,0,60,7,0,11,0,0,2.29,4,1.14,6.14,11,1,4,7,14,43,0,0.7963,0,3433,16
Book-Catalogue,com.eleybourn.bookcatalogue.utils.IsbnUtils.IsbnInfo,1,1,6,0.0469,0,1,4,17,21,1,87,1,1,1,1,323,187769,0,0,0,0,0,0,0,2,1,2,128,21,344,75,4,0,122,4,0,11,0,0,5.6,9,1.4,17.6,31,1,1,4,19,88,0,0.0492,0,2142,28
Book-Catalogue,com.eleybourn.bookcatalogue.utils.Logger,0,99,12,0.2308,3,0,0,15,15,303,16,1,483,1,99,320,7776,0,0,1,7,0.6667,0,0,2,2,305,52,16,86,47,0,0,40,3,0,11,0,0,1.33,2,1,7.33,12,1,15,0,21,22,0,0.3,0,477,4
Book-Catalogue,com.eleybourn.bookcatalogue.utils.SimpleTaskQueue,1,21,131,0.4381,5,2,12,26,38,303,97,7,483,1,16,320,338696,6,0,0.3333,95,1,0,0,1,2,305,299,10,491,132,12,0,168,12,0,11,0,0,2.07,5,0.71,5.73,17,1,3,7,37,86,0,1.646,1,3458,31
Book-Catalogue,com.eleybourn.bookcatalogue.utils.SimpleTaskQueue.OnTaskFinishListener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Book-Catalogue,com.eleybourn.bookcatalogue.utils.SimpleTaskQueue.OnTaskStartListener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Book-Catalogue,com.eleybourn.bookcatalogue.utils.SimpleTaskQueue.SimpleTask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
Book-Catalogue,com.eleybourn.bookcatalogue.utils.SimpleTaskQueue.SimpleTaskContext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,
Book-Catalogue,com.eleybourn.bookcatalogue.utils.SimpleTaskQueue.SimpleTaskQueueThread,0,8,16,0.2222,1,0,3,56,59,303,43,8,483,2,2,320,22494,0,1,1,12,0.25,0,0,1,2,305,72,10,97,39,3,0,56,3,0,41,1,0,3.25,7,0,7.75,21,3,1,3,16,31,0,0.2857,0,512,13
Book-Catalogue,com.eleybourn.bookcatalogue.utils.SimpleTaskQueue.SimpleTaskWrapper,0,7,8,0.1481,1,1,7,25,32,303,19,7,483,1,2,320,7701,0,1,0,8,0.1429,0,0,3,2,305,54,4,77,35,7,0,46,6,0,11,0,0,1.43,2,0.43,2.29,4,3,1,5,12,16,0,0.1739,0,394,10
Book-Catalogue,com.eleybourn.bookcatalogue.utils.SimpleTaskQueueProgressFragment,2,21,135,0.3199,23,1,75,239,314,303,163,11,483,4,14,320,804658,8,6,1,117,0.8276,0,0,4,2,305,422,83,660,173,18,57,287,21,0,189,7,0,1.94,7,1,4.53,18,3,5,5,86,145,0,0.6746,1,4906,62
