,numberOfDirectManipulationOfModels,numberOfInDirectManipulationOfModels,npath_complexity,lack_of_cohesion_in_methods,number_of_methods,depth_of_inheritance,coupling_between_object_classes,class_complexity,number_of_attributes,number_of_implemented_interfaces,is_presenterForm,Role
381,1,2,0,7.555786372591432e+22,0.0,15.0,0.0,6.0,76.0,11.0,0.0,4
382,1,1,1,8192.0,4.0,5.0,0.0,5.0,13.0,4.0,1.0,2
383,1,2,1,32.0,0.0,4.0,0.0,4.0,5.0,3.0,1.0,2
384,1,1,0,1024.0,0.0,7.0,0.0,2.0,10.0,2.0,0.0,4
385,0,0,0,512.0,4.0,4.0,0.0,3.0,9.0,2.0,1.0,4
386,0,0,0,128.0,0.0,4.0,0.0,4.0,7.0,3.0,1.0,4
387,0,0,0,512.0,4.0,4.0,0.0,3.0,9.0,2.0,1.0,4
388,0,0,0,4096.0,14.0,8.0,0.0,3.0,12.0,4.0,1.0,4
389,1,0,0,16.0,1.0,3.0,0.0,3.0,4.0,1.0,0.0,2
390,0,0,0,8.0,1.0,3.0,0.0,4.0,3.0,1.0,0.0,2
391,1,0,0,512.0,3.0,6.0,0.0,1.0,9.0,2.0,0.0,4
392,1,1,0,2048.0,28.0,8.0,0.0,1.0,11.0,1.0,0.0,4
393,1,0,0,16.0,2.0,4.0,0.0,1.0,4.0,2.0,0.0,3
394,1,0,0,32.0,0.0,2.0,0.0,1.0,5.0,1.0,1.0,4
395,0,0,0,4096.0,31.0,10.0,0.0,5.0,12.0,3.0,0.0,3
396,0,0,0,32.0,0.0,2.0,0.0,1.0,5.0,1.0,1.0,4
397,1,0,0,512.0,3.0,6.0,0.0,1.0,9.0,2.0,0.0,4
398,0,0,0,16.0,0.0,2.0,0.0,3.0,4.0,2.0,0.0,4
399,0,0,0,1024.0,24.0,9.0,0.0,2.0,10.0,1.0,1.0,2
400,0,3,0,16.0,45.0,10.0,0.0,0.0,4.0,0.0,0.0,4
401,3,3,0,134217728.0,0.0,11.0,0.0,1.0,27.0,1.0,1.0,4
402,0,0,0,2097152.0,0.0,13.0,0.0,1.0,21.0,7.0,1.0,4
403,0,0,0,32768.0,0.0,8.0,0.0,1.0,15.0,1.0,1.0,4
404,3,3,0,2.9514790517935283e+20,204.0,36.0,0.0,6.0,68.0,6.0,1.0,4
405,0,0,0,4.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,3
406,0,0,0,16384.0,616.0,36.0,0.0,0.0,14.0,5.0,0.0,3
407,0,0,0,64.0,1.0,3.0,0.0,2.0,6.0,1.0,0.0,3
408,0,0,0,64.0,4.0,4.0,0.0,3.0,6.0,1.0,0.0,3
409,0,0,0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3
410,0,0,0,8192.0,15.0,6.0,0.0,5.0,13.0,0.0,0.0,3
411,0,0,0,8.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,3
412,0,0,0,33554432.0,83.0,15.0,0.0,2.0,25.0,11.0,0.0,3
413,0,0,0,16.0,3.0,3.0,0.0,2.0,4.0,0.0,0.0,3
414,0,0,0,128.0,0.0,4.0,0.0,0.0,7.0,1.0,1.0,4
415,0,0,0,524288.0,0.0,2.0,0.0,8.0,19.0,2.0,0.0,4
416,0,0,0,3.224453925388582e+265,2829.0,78.0,0.0,18.0,882.0,267.0,0.0,4
